Data,Titulo,Resumo,Fonte,Link,Imagem,Categoria,Tipo
2025-07-23,Instagram permite bots de IAs que sexualizam e infantilizam mulheres,"Criadas por usuários, chatbots como ""Safadinha"" e ""Bebezinha"" automatizam a violência simbólica de gênero e estão no topo dos mais utilizados",Nucleo Jornalismo,https://nucleo.jor.br/reportagem/2025-07-23-bots-de-ia-que-simulam-mulheres-sexualizadas-e-infantilizadas-lotam-o-instagram/,https://nucleo.jor.br/content/images/2025/07/Chatbots_Instagram_.png,Violência de gênero,Nacional
2025-07-22,Data Centers Aren’t the Future of American Prosperity,"Data Centers Aren't the Future of American Prosperity- Policy brief bust the myths of data centers: they don't massively increase jobs, they don't increase clean energy investment, and they don't benefit local communities!",Data & Society,https://datasociety.net/library/data-centers-arent-the-future-of-american-prosperity/,https://datasociety.net/wp-content/uploads/2025/07/WEB-FEATURE-560X560.jpg,Impacto Ambiental,Internacional
2025-06-30,Police racism and criminalisation across Europe increasingly fuelled by digital 'prediction' and profiling systems,"The civil liberties organisation Statewatch has published a report that reveals how police and criminal legal system authorities across Europe are using data-based, algorithmic and AI systems to ‘predict’ where crimes may occur and profile people as criminals, despite the EU’s apparent ban on so-called ‘predictive policing’ systems in the Artificial Intelligence Act.",Statewatch,https://www.statewatch.org/news/2025/june/police-racism-and-criminalisation-across-europe-increasingly-fuelled-by-digital-prediction-and-profiling-systems/,https://www.statewatch.org/media/4993/new-technologies-old-injustice.png,Racismo,Internacional
2025-07-24,Trump signs executive orders targeting ‘woke’ AI models and regulation,Crackdown would streamline the building of datacentres and remove environmental protections,The Guardian,https://www.theguardian.com/us-news/2025/jul/23/trump-executive-orders-woke-ai#img-1,https://www.theguardian.com/us-news/2025/jul/23/trump-executive-orders-woke-ai#img-1,Regulação,Internacional
2025-06-30,Justiça condena iFood a indenizar entregador do DF por danos morais após 'falha racista' em reconhecimento facial; entenda,"Aplicativo deixou de reconhecer rosto do entregador após mudança de penteado, diz defesa; indenização foi fixada em R$ 60 mil. O iFood afirmou não existe análise de características raciais no procedimento de reconhecimento facial.",G1,https://g1.globo.com/df/distrito-federal/noticia/2025/06/30/justica-condena-ifood-a-indenizar-entregador-do-df-por-danos-morais-apos-falha-racista-em-reconhecimento-facial-entenda.ghtml,https://s2-g1.glbimg.com/QM0ii919zbtqtl_isQelW9BakoA=/0x0:2277x1654/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2020/z/t/B62wQURuG7CITWLbL2DA/proteto-motoboys-080920-11.jpg,Racismo,Nacional
2025-07-21,Baby Grok': Elon Musk vai lançar app de inteligência artificial para crianças; conheça,"Anúncio foi feito pelo bilionário em publicação no X; detalhes sobre o lançamento da ferramenta, porém, ainda são desconhecidos",O Globo,https://www.removepaywall.com/search?url=https://oglobo.globo.com/economia/tecnologia/noticia/2025/07/21/baby-grok-elon-musk-vai-lancar-app-de-inteligencia-artificial-para-criancas-conheca.ghtml,https://s2-oglobo.glbimg.com/ZLKJhxtPC8iMI39K6LSRMDA9QSs=/0x0:4000x2666/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_da025474c0c44edd99332dddb09cabe8/internal_photos/bs/2024/3/f/AysPygQYyThxfwpmHYYg/grook-elon-musk-bloomberg.jpg,Segurança Infantil,Nacional
2025-07-18,UE publica diretrizes para IA e aumenta pressão sobre Big Techs,Documento mira modelos como o ChatGPT e busca evitar riscos sistêmicos. Meta se recusou a aderir,Núcleo jornalismo,https://nucleo.jor.br/curtas/2025-07-18-ue-publica-diretrizes-para-ia-e-aumenta-pressao-sobre-big-techs/,https://nucleo.jor.br/content/images/2025/07/36-JR-ia.png,Regulação,Nacional
2025-07-14,Their Water Taps Ran Dry When Meta Built Next Door,"In the race to develop artificial intelligence, tech giants are building data centers that guzzle up water. That has led to problems for people who live nearby.",The New Yorl Times,https://www.nytimes.com/2025/07/14/technology/meta-data-center-water.html?unlocked_article_code=1.XE8.maMd.9MZ9CPfs5Ay8&amp;smid=url-share,https://static01.nyt.com/images/2025/05/31/multimedia/DATACENTER-1-02-flcq/DATACENTER-1-02-flcq-superJumbo.jpg?quality=75&auto=webp,Impacto Ambiental,Internacional
2025-07-16,Zuckerberg says Meta will build data center the size of Manhattan in latest AI push,CEO says company plans to spend hundreds of billions on developing artificial intelligence products,The Guardian,https://www.theguardian.com/technology/2025/jul/16/zuckerberg-meta-data-center-ai-manhattan,https://www.theguardian.com/technology/2025/jul/16/zuckerberg-meta-data-center-ai-manhattan#img-1,Impacto Ambiental,Internacional
2025-07-10,I can't drink the water' - life next to a US data centre,Residents in rural Georgia say the data centre next door has disrupted their water supply.,BBC,https://www.bbc.com/news/articles/cy8gy7lv448o,https://ichef.bbci.co.uk/news/1024/cpsprodpb/1cc8/live/9dd2a020-5c9e-11f0-b8c6-458cd8075fd5.jpg.webp,Impacto Ambiental,Internacional
